di_ks,di_mmd,dose,family,gate_input,ks_denominator_synth_cross,ks_numerator_real_synth,mmd_cross_by_beta_pair,mmd_denominator_synth_cross,mmd_numerator_real_synth,mmd_real_by_beta,seed,variant
1.8003231763619578,1.7593387472479867,0,jpeg,tsp_grad_mag,0.16044444444444442,0.28885185185185186,"{""beta_0.005_vs_beta_0.01"": 0.11134194009777189, ""beta_0.005_vs_beta_0.02"": 0.29099950656670404, ""beta_0.01_vs_beta_0.02"": 0.18946681087477088}",0.19726941917974894,0.34706373281003744,"{""beta_0.005"": 0.40098876797137045, ""beta_0.01"": 0.35782253143476334, ""beta_0.02"": 0.2823798990239784}",2024,tsp_grad_mag
1.7811954624781847,1.7770095055673687,1,jpeg,tsp_grad_mag,0.16977777777777778,0.30240740740740735,"{""beta_0.005_vs_beta_0.01"": 0.11740416178723467, ""beta_0.005_vs_beta_0.02"": 0.29774949070295653, ""beta_0.01_vs_beta_0.02"": 0.19405478092964393}",0.2030694778066117,0.3608563923529508,"{""beta_0.005"": 0.41007035874364656, ""beta_0.01"": 0.37319097242961546, ""beta_0.02"": 0.2993078458855904}",2024,tsp_grad_mag
1.6952604778691736,1.831679353559417,2,jpeg,tsp_grad_mag,0.18911111111111112,0.3205925925925926,"{""beta_0.005_vs_beta_0.01"": 0.12980575393633662, ""beta_0.005_vs_beta_0.02"": 0.31096166742934683, ""beta_0.01_vs_beta_0.02"": 0.19561616015107694}",0.21212786050558682,0.38855022240281545,"{""beta_0.005"": 0.40478610529830317, ""beta_0.01"": 0.393049634077324, ""beta_0.02"": 0.3678149278328191}",2024,tsp_grad_mag
1.7325846354166663,1.8264475379096685,3,jpeg,tsp_grad_mag,0.2275555555555556,0.39425925925925925,"{""beta_0.005_vs_beta_0.01"": 0.16296740014705877, ""beta_0.005_vs_beta_0.02"": 0.39654501121084146, ""beta_0.01_vs_beta_0.02"": 0.25205218974669935}",0.2705215337015332,0.4940933891807127,"{""beta_0.005"": 0.4587626868448363, ""beta_0.01"": 0.4858014020214129, ""beta_0.02"": 0.5377160786758889}",2024,tsp_grad_mag
2.175236406619385,2.2095268610428773,4,jpeg,tsp_grad_mag,0.25066666666666665,0.5452592592592592,"{""beta_0.005_vs_beta_0.01"": 0.18464064485537676, ""beta_0.005_vs_beta_0.02"": 0.4405528299076667, ""beta_0.01_vs_beta_0.02"": 0.2789773208990935}",0.30139026522071233,0.6659298866620008,"{""beta_0.005"": 0.6170646704629864, ""beta_0.01"": 0.6606290227832982, ""beta_0.02"": 0.720095966739718}",2024,tsp_grad_mag
1.5760765550239237,1.6219756390438396,0,colorbias,raw_dark_channel,0.23222222222222222,0.36600000000000005,"{""beta_0.005_vs_beta_0.01"": 0.113650182543186, ""beta_0.005_vs_beta_0.02"": 0.393537752319128, ""beta_0.01_vs_beta_0.02"": 0.3103566355805822}",0.27251485681429877,0.44201245903031267,"{""beta_0.005"": 0.40571964570734487, ""beta_0.01"": 0.43506516441063675, ""beta_0.02"": 0.4852525669729563}",42,raw_dark_channel
1.6472602739726023,1.6682411409725029,1,colorbias,raw_dark_channel,0.22711111111111112,0.37411111111111106,"{""beta_0.005_vs_beta_0.01"": 0.10869158283825975, ""beta_0.005_vs_beta_0.02"": 0.3892503249220584, ""beta_0.01_vs_beta_0.02"": 0.3103978779672501}",0.26944659524252274,0.4495018954785423,"{""beta_0.005"": 0.4118603470379902, ""beta_0.01"": 0.4439681499598023, ""beta_0.02"": 0.4926771894378344}",42,raw_dark_channel
1.7146709816612733,1.7415349855130564,2,colorbias,raw_dark_channel,0.206,0.35322222222222227,"{""beta_0.005_vs_beta_0.01"": 0.0972212780211059, ""beta_0.005_vs_beta_0.02"": 0.33999274649427164, ""beta_0.01_vs_beta_0.02"": 0.283322093286558}",0.24017870593397853,0.4182796191592759,"{""beta_0.005"": 0.3674529010848995, ""beta_0.01"": 0.4202307864098564, ""beta_0.02"": 0.46715516998307194}",42,raw_dark_channel
1.6981242672919108,1.6345154178337802,3,colorbias,raw_dark_channel,0.18955555555555556,0.3218888888888889,"{""beta_0.005_vs_beta_0.01"": 0.1337952731055968, ""beta_0.005_vs_beta_0.02"": 0.28638082416663424, ""beta_0.01_vs_beta_0.02"": 0.23152750582395235}",0.21723453436539444,0.3550731957061794,"{""beta_0.005"": 0.2726722347847933, ""beta_0.01"": 0.365295650991866, ""beta_0.02"": 0.4272517013418788}",42,raw_dark_channel
1.320226709174637,1.1647147437337957,4,colorbias,raw_dark_channel,0.2091111111111111,0.2760740740740741,"{""beta_0.005_vs_beta_0.01"": 0.20062845015642786, ""beta_0.005_vs_beta_0.02"": 0.3257576223793985, ""beta_0.01_vs_beta_0.02"": 0.19078824241386458}",0.23905810498323032,0.27843449948302995,"{""beta_0.005"": 0.1757981052368291, ""beta_0.01"": 0.28295393045979417, ""beta_0.02"": 0.37655146275246654}",42,raw_dark_channel
